	entry	grammar	definition	xr
17868	bhami	aorist	revolved; whirled about; roamed	bhamati
17869	bhamitvā	absolutive	having revolved; having whirled about; having roamed	bhamati
17870	bhamu	feminine	the eyebrow	
17871	bhamukā	feminine	the eyebrow	
17872	bhaya	neuter	fear; fright	
17873	bhaya-bherava	adjective	appalling and terrible	
17874	bhayaṅkara	adjective	dreadful; horrible	
17875	bhayadassāvī	adjective	realizing the danger	
17876	bhayadassī	adjective	realizing the danger	
17877	bhayānaka	adjective	frightful; horrible	
17878	bhayāvaha	adjective	frightful; horrible	
17879	bhara	adjective	(in compounds), supporting. mātāpettibhara = one who supports his parents	
17880	bharaṇa	neuter	maintenance; bearing	
17881	bharati	bhar + a	bears; supports; maintains	
17882	bhari	aorist	bear; supports; maintains	bharati
17883	bharita	past participle	filled with; full of; maintained	bharita
17884	bharitvā	absolutive	having born; having supported	bharati
17885	bhariyā	feminine	the wife	
17886	bhallātaka	masculine	the marking-nut tree	
17887	bhava	masculine	the state of existence	
17888	bhavagga	masculine	the highest point of existence or of the universe	
17889	bhavaṅga	neuter	the sub- consciousness	
17890	bhavacakka	neuter	the wheel of rebirth	
17891	bhavataṇhā	feminine	craving for rebirth	
17892	bhavati	bhu + a	becomes; to be; exists	
17893	bhavana	neuter	becoming; a dwelling place	
17894	bhavanetti	feminine	craving for rebirth	
17895	bhavanta	adjective	prosperous; a polite word often used in the place of “you”. 	
17896	bhavantaga	adjective	gone to the end of existence	
17897	bhavantara	neuter	another existence	
17898	bhavamāna	present participle	becoming; existing	bhavati
17899	bhavasaṁyojana	neuter	fetter of rebirth	
17900	bhavābhava	masculine	this or that life	
17901	bhavi	aorist	became; existed	bhavati
17902	bhavitabba	future passive participle adjective	should be existed	bhavati
17903	bhavituṁ	infinitive	to become; to exist	bhavati
17904	bhavitvā	absolutive	having existed	bhavati
17905	bhavesanā	feminine	longing for rebirth	
17906	bhavogha	masculine	the flood of rebirth	
17907	bhastā	feminine	the bellows; a leather bag	
17908	bhasma	neuter	ashes	
17909	bhasmacchanna	adjective	covered with ashes	
17910	bhassa	neuter	useless talk	
17911	bhassati	bhas + ya	falls down; drops; descends	
17912	bhassanta	present participle	falling down	bhassati
17913	bhassamāna	present participle	falling down	bhassati
17914	bhassara	adjective	bright; shining; resplendent	
17915	bhassārāmatā	feminine	attachment to useless talk	
17916	bhassi	aorist	fell down; dropped	bhassati
17917	bhassitvā	absolutive	having fell down	bhassati
17918	bhā	feminine	the light; splendor	
17919	bhākuṭika	adjective	knitting the brows; frowning	
17920	bhāga	masculine	a portion; part; share; faction	
17921	bhāgadheya	neuter	fortune; fate	
17922	bhāgadheyya	neuter	fortune; fate	
17923	bhāgavant	adjective	sharing in; partaking of	
17924	bhāgaso	adverb	in parts; by portions	
17925	bhāgineyya	masculine	sister’s son; nephew	
17926	bhāgineyyā	feminine	sister’s daughter; niece	
17927	bhāgiya	adjective	(in compounds) connected with; conducive to	
17928	bhāgī	adjective	sharing in; partaking of. (masculine) sharer; share-holder	
17929	bhāgīrathī	feminine	the Ganges	
17930	bhāgya	neuter	good luck; fortune	
17931	bhājaka	masculine	one who divides or distribution	
17932	bhājana	neuter	association with	
17933	bhājanavikati	feminine	various kinds of dishes or vessels	
17934	bhājita	past participle	divided; distributed	bhājeti
17935	bhājīyati	passive	is divided or distributed	bhājeti
17936	bhājetabba	future passive participle adjective	should be divided; should be distributed	bhājeti
17937	bhājeti	bhāj + e	divides; distributes	
17938	bhājetar	masculine	one who divides or distribution	
17939	bhājetvā	absolutive	having divided; having distributed	bhājeti
17940	bhājenta	present participle	dividing; distributing	bhājeti
17941	bhājesi	aorist	divided; distributed	bhājeti
17942	bhāṇaka	masculine	 a reciter of the Scriptures	
17943	bhāṇaka	masculine	a big jar	
17944	bhāṇavāra	masculine	a section of the scriptures, containing 8, 000 letters	
17945	bhāṇī	adjective	speaking; reciting	
17946	bhāti	bhā + a	shines	
17947	bhātika	masculine	a brother	
17948	bhātar	masculine	a brother	
17949	bhānu	masculine	 light;	
17950	bhānu	masculine	the sun	
17951	bhānumantu	adjective	luminous; (masculine), the sun	
17952	bhāyati	bhi + a	is afraid; fears	
17953	bhāyanta	present participle	fearing	bhāyati
17954	bhāyāpita	past participle	caused to frighten	bhāyāpeti
17955	bhāyāpeti	causative	causes to frighten	bhāyati
17956	bhāyāpetvā	absolutive	having caused to frighten	bhāyāpeti
17957	bhāyāpesi	aorist	caused to frighten	bhāyāpeti
17958	bhāyi	aorist	feared	bhāyati
17959	bhāyitabba	future passive participle adjective	should be afraid	bhāyati
17960	bhāyitvā	absolutive	having feared	bhāyati
17961	bhāra	masculine	a weight; load; burden; charge; task; an affair	
17962	bhāranikkhepana	neuter	the laying down of a burden or charge	
17963	bhāramocana	neuter	deliverance of a burden	
17964	bhāravāhī	masculine	bearing the burden; one who carries an office	
17965	bhārahāra	masculine	burden-bearer; load-carrier	
17966	bhārika	adjective	loaded; heavy; full of	
17967	bhāriya	adjective	weighty; grave; serious	
17968	bhāva	masculine	condition; nature; becoming	
17969	bhāvanā	feminine	increase; development by means of thought; meditation	
17970	bhāvanānuyoga	masculine	application to meditation	
17971	bhāvanāmaya	adjective	accomplished by meditation	
17972	bhāvanāvidhāna	neuter	arrangement or process of meditation	
17973	bhāvanīya	adjective	to be cultivated; to be respected	
17974	bhāvayamāna	present participle	increasing; cultivating; developing	bhāveti
17975	bhāvita	past participle	increased; cultivated; developed	bhāveti
17976	bhāvitatta	adjective	well-trained; self-composed	
17977	bhāvī	adjective	going to be; inevitable	
17978	bhāvetabba	future passive participle adjective	should be cultivated	bhāveti
17979	bhāveti	bhū+ e	increases; cultivates; develops	
17980	bhāvetuṁ	infinitive	to increase; to cultivate; to develop	bhāveti
17981	bhāvetvā	absolutive	having increased; having cultivated; having developed	bhāveti
17982	bhāventa	present participle	increasing; cultivating; developing	bhāveti
17983	bhāvesi	aorist	increased; cultivated; developed	bhāveti
17984	bhāsati	bhās + a	says; speaks; shines	
17985	bhāsana	neuter	speech; saying; talk	
17986	bhāsanta	present participle	saying; speaking; shining	bhāsati
17987	bhāsantara	neuter	different language	
17988	bhāsā	feminine	language; dialect	
17989	bhāsi	aorist	said; spoke; shone	bhāti
17990	bhāsita	past participle	said; spoken; shone. (neuter), saying	bhāsati
17991	bhāsitabba	pt.p	should be said; should be spoken; should be shone	bhāsati
17992	bhāsitar	masculine	one who says or speaks	
17993	bhāsitvā	absolutive	having said; having spoken; having shone	bhāsati
17994	bhāsī	masculine	one who says or speaks	
17995	bhāsura	adjective	bright; shining	
17996	bhiṁsana	adjective	horrible; dreadful; awe-inspiring	
17997	bhiṁsanaka	adjective	horrible; dreadful; awe-inspiring	
17998	bhikkhaka	masculine	a beggar; mendicant	
17999	bhikkhati	bhikkh + a	begs alms; asks for	
18000	bhikkhana	neuter	begging	
18001	bhikkhanta	present participle	begging alms; asking for	bhikkhati
18002	bhikkhamāna	present participle	begging alms; asking for	bhikkhati
18003	bhikkhā	feminine	alms; food	
18004	bhikkhācariyā	feminine	going about for alms	
18005	bhikkhācāra	masculine	going about for alms	
18006	bhikkhāhāra	(bhikkhā + āhāra), masculine	food received by a mendicant	
18007	bhikkhi	aorist	begged alms; asked for	bhikkhati
18008	bhikkhitvā	absolutive	having begged alms; having asked for	bhikkhati
18009	bhikkhu	masculine	a Buddhist monk	
18010	bhikkhuṇī	feminine	a Buddhist nun	
18011	bhikkhubhāva	masculine	monkshood	
18012	bhikkhusaṅgha	masculine	congregation of monks	
18013	bhiṅka	masculine	a young elephant	
18014	bhiṅkāra	masculine	a water-jug	
18015	bhiṅsana	adjective	horrible; dreadful; awe-inspiring	
18016	bhiṅsanaka	adjective	horrible; dreadful; awe-inspiring	
18017	bhijjati	bhid + ya	is broken or destroyed	
18018	bhijjadhamma	adjective	brittle; falling into ruin	
18019	bhijjana	neuter	breaking itself	
18020	bhijjanadhamma	adjective	brittle; falling into ruin	
18021	bhijjamāna	present participle	breaking; destroying	bhijjati
18022	bhijji	aorist	broke; destroyed	bhijjati
18023	bhijjitvā	absolutive	having broken; having destroyed	bhijjati
18024	bhitti	feminine	a wall	
18025	bhittipāda	masculine	the foot or foundation of a wall	
18026	bhindati	bhid + ṁ - a	breaks; splits; severs	
18027	bhindana	neuter	breaking up	
18028	bhindanta	present participle	breaking; splitting; severing	bhindati
18029	bhindi	aorist	broke; split; severed	bhindati
18030	bhindita	past participle	broken; split; severed	bhindati
18031	bhindituṁ	infinitive	to break; to split; to sever	bhindati
18032	bhinditvā	absolutive	having broken; having split; having severed	bhindati
18033	bhinna	past participle	broken; destroyed	bhijjati
18034	bhinnatta	neuter	state of being broken; diversity	
18035	bhinnapaṭa	neuter	a torn clothe	
18036	bhinnabhāva	masculine	state of being broken; diversity	
18037	bhinnamariyāda	adjective	gone beyond the limits	
18038	bhinnasīla	adjective	one who has broken some precepts	
18039	bhinnāva	adjective	shipwrecked	
18040	bhiyyo	indeclinable	exceedingly; more; in a higher degree; repeatedly	
18041	bhiyyoso	indeclinable	exceedingly; more; in a higher degree; repeatedly	
18042	bhiyyoso mattāya		exceedingly; more than one’s ability	
18043	bhisa	neuter	the root of lotus plant	
18044	bhisakka	masculine	a physician	
18045	bhisapuppha	neuter	lotus flower	
18046	bhisamuḷāla	neuter	lotus bulb and roots	
18047	bhisi	feminine	cushion; a pad; a bolster	
18048	bhīta	past participle	frightened	bhāyati
18049	bhīti	feminine	fear	
18050	bhīma	adjective	dreadful; horrible	
18051	bhīyoso mattāya	indeclinable	still more	
18052	bhīru	adjective	timid; fearful; cowardly	
18053	bhīruka	adjective	timid; fearful; cowardly	
18054	bhīruttāna	neuter	refuge for the fearful	
18055	bhīsana	adjective	dreadful; horrible	
18056	bhukkaraṇa	neuter	barking (of a dog)	
18057	bhukkāra	masculine	barking (of a dog)	
18058	bhuṅkata	past participle	barked	bhuṅkaroti
18059	bhuṅkatvā	absolutive	having barked	bhuṅkaroti
18060	bhuṅkaraṇa	neuter	barking	
18061	bhuṅkari	aorist	barked	bhuṅkaroti
18062	bhuṅkaritvā	absolutive	having barked	bhuṅkaroti
18063	bhuṅkaroti	bhuṅ + kar + o	barks	
18064	bhuṅkaronta	present participle	barking	bhuṅkaroti
18065	bhuṅkāra	masculine	barking (of a dog)	
18066	bhuja	masculine	the hand. (adjective), crooked; bending	
18067	bhujaga	masculine	a snake	
18068	bhujaṅga	masculine	a snake	
18069	bhujaṅgama	masculine	a snake	
18070	bhujapatta	masculine	the Bhurja tree, a kind of willow	
18071	bhujissa	masculine	a freeman	
18072	bhuñjaka	masculine	one who eats or enjoys	
18073	bhuñjati	bhuj + ṁ-a	eats; enjoys	
18074	bhuñjana	neuter	eating	
18075	bhuñjanakāla	masculine	meal-time	
18076	bhuñjanta	present participle	eating; enjoying	bhuñjati
18077	bhuñjamāna	present participle	eating; enjoying	bhuñjati
18078	bhuñji	aorist	ate; enjoyed	bhuñjati
18079	bhuñjitabba	future passive participle adjective	eating; enjoying	bhuñjati
18080	bhuñjitar	masculine	one who eats or enjoys	
18081	bhuñjituṁ	infinitive	to eat; to enjoy	bhuñjati
18082	bhuñjitvā	absolutive	having eaten; having enjoyed	bhuñjati
18083	bhuñjiya	absolutive	having eaten; having enjoyed	bhuñjati
18084	bhutta	past participle	eaten; enjoyed	bhuñjati
18085	bhuttāvī	adjective	one who has eaten; enjoyed	
18086	bhutvā	absolutive	having eaten; having enjoyed	bhuñjati
18087	bhumma	adjective	terrestrial. (in compounds), having stages or stories	
18088	bhummaṭṭha	adjective	situated on the earth	
18089	bhummattharaṇa	neuter	a ground covering; carpet	
18090	bhummantara	neuter	different stages or planes	
18091	bhusa	neuter	chaff; husks (of corn). (adjective), much; abundant	
18092	bhusaṁ	adverb	exceedingly; frequently	
18093	bhussati	bhus + ya	barks	
18094	bhussanta	present participle	barking	bhussati
18095	bhussamāna	present participle	barking	bhussati
18096	bhussi	aorist	barked	bhussati
18097	bhussitvā	absolutive	having barked	bhussati
18098	bhū	feminine	the earth	
18099	bhūta	past participle	become; existed	bhavati
18100	bhūtakāya	masculine	the body, which is produced by elements	
18101	bhūtakāla	masculine	time to reveal one’s true nature	
18102	bhūtagāma	masculine	vegetation	
18103	bhūtagāha	masculine	possession by a demon	
18104	bhūtatta	neuter	the fact of having become	
18105	bhūtapati	masculine	lord of demons	
18106	bhūtapubbaṁ	adverb	formerly	
18107	bhūtavādī	adjective	truthful	
18108	bhūtavijjā	feminine	exorcism	
18109	bhūtavejja	masculine	an exorcist	
18110	bhūtika	adjective	composed of elements	
18111	bhūtvā	absolutive	having existed	bhavati
18112	bhūma	adjective	(in compounds), having floors or stories	
18113	bhūmaka	adjective	(in compounds), having floors or stories	
18114	bhūmi	feminine	ground; earth; region; stage; plane	
18115	bhūmikampā	feminine	an earthquake	
18116	bhūmigata	adjective	situated on the ground or stored away in the ground	
18117	bhūmitala	neuter	ground surface	
18118	bhūmippadesa	masculine	a piece of land	
18119	bhūmibhāga	masculine	a piece of land	
18120	bhūmisenāpati	masculine	lord of country and army	
18121	bhūri	feminine	wisdom. (adjective), extensive; abundant	
18122	bhūripañña	adjective	of extensive wisdom	
18123	bhūrimedha	adjective	of extensive wisdom	
18124	bhūsana	neuter	an ornament; decoration	
18125	bhūsā	feminine	an ornament; decoration	
18126	bhūsāpita	past participle	caused to adorn or decorate	bhūsāpeti
18127	bhūsāpeti	causative	causes to adorn or decorate	bhūseti
18128	bhūsāpetvā	absolutive	having caused to adorn or decorate	bhūsāpeti
18129	bhūsāpesi	aorist	caused to adorn or decorate	bhūsāpeti
18130	bhūsita	past participle	adorned; decorated; beautified	bhūseti
18131	bhūseti	bhūs + e	adorns; decorates; beautifies	
18132	bhūsetvā	absolutive	having adorned; having decorated; having beautified	bhūseti
18133	bhūsenta	present participle	adorning; decorating; beautifying	bhūseti
18134	bhūsesi	aorist	adorned; decorated; beautified	bhūseti
18135	bheka	masculine	a frog	
18136	bhejja	adjective	brittle; breakable. (neuter), breaking or cutting off	
18137	bheṇḍivāla	masculine	a kind of missile	
