pali	grammar	meaning	from
sagāha	adjective	full of ferocious animals	
sagotta	adjective	of the same lineage; a kinsman	
sagga	masculine	a place of happiness; heaven	
saggakāya	masculine	the heavenly assembly	
saggaparāyaṇa		destined to be born in heaven	
saggamagga	masculine	the way to heaven	
saggaloka	masculine	the heavenly region	
saggasaṃvattanika	adjective	leading to heaven	
sagguṇa	masculine	good quality	
saṅkaṭīra	neuter	rubbish heap	
saṅkaḍḍhati	saṁ + kaḍḍh + a	collects; drags	
saṅkaḍḍhi	aorist	collected; dragged	saṅkaḍḍhati
saṅkaḍḍhitvā	absolutive	having collected; having dragged	saṅkhaḍḍhati
saṅkati	sak + ṁ-a	doubts; hesitates; to be uncertain	
saṅkatitvā	absolutive	having cut all round	saṅkantati
saṅkanta	past participle	passed over to; shifted; transmigrated	saṅkamati
saṅkantati	saṁ + kant + a	cuts all round	
saṅkanti	aorist	cut all round	saṅkantati
saṅkantika	adjective	moving from one place to another	
saṅkantikaroga	masculine	an epidemic	
saṅkantita	past participle	cut all round	saṅkantati
saṅkappa	masculine	intention; purpose	
saṅkappita	past participle	thought about; imagined	osaṅkappeti
saṅkappeti	saṁ + kapp + e	thinks about; imagines	
saṅkappetvā	absolutive	having thought about; having imagined	saṅkappeti
saṅkappesi	aorist	thought about; imagined	saṅkappeti
saṅkama	masculine	a passage; bridge	
saṅkamati	saṁ + kam + a	passes over to; shifts; transmigrates	
saṅkamana	neuter	a passage; a bridge; going over; to move from place to place	
saṅkamāna	present participle	doubting; hesitating	saṅkati
saṅkami	aorist	passed over to; shifted; transmigrated	saṅkamati
saṅkamitvā	absolutive	having passed over to; having shifted; having transmigrated	saṅkamati
saṅkampi	aorist	trampled; shaked	saṅkampeti
saṅkampita	past participle	trampled; shaked	saṅkampeti
saṅkampitvā	absolutive	having trampled; having shaked	saṅkampeti
saṅkampeti	saṁ + kamp + a	tramples; shakes	
saṅkamma	absolutive	having passed over to; having shifted; having transmigrated	saṅkamati
saṅkayita	past participle	was doubtful or uncertain about	saṅkāyati
saṅkara	adjective	blissful. (masculine) blending; mixing	
saṅkalana	neuter	addition; collection	
saṅkasāyati	v	keeps still	
saṅkāyati	Deno. from saṅkā	is doubtful or uncertain about	
saṅkāyi	aorist	was doubtful or uncertain about	saṅkāyati
saṅkāra	masculine	rubbish	
saṅkārakūṭa	masculine	rubbish heap	
saṅkāracoḷa	neuter	a rag picked up from a rubbish heap	
saṅkāraṭṭhāna	neuter	a dustbin; rubbish heap	
saṅkāsa	adjective	similar	
saṅkāsanā	feminine	explanation	
saṅki	aorist	doubted; hesitated	saṅkati
saṅkiṇṇa	past participle	full of; mixed; impure	saṅkirati
saṅkita	past participle	doubted; hesitated	saṅkati
saṅkittana	neuter	making known; proclamation	
saṅkitvā	absolutive	having doubted; having hesitated	saṅkati
saṅkipa	masculine	disturbance; agitation	
saṅkī	adjective	doubtful	
saṅkīyati	passive	to be suspected	saṅkati
saṅku	masculine	a stake; a spike	
saṅkucati	saṁ + kuc + a	becomes contracted; shrinks; clenches	
saṅkucana	neuter	shrinkage	
saṅkuci	aorist	became contracted; shrank; clenched	saṅkucati
saṅkucita	past participle	become contracted; shrunk; clenched	saṅkucati
saṅkucitvā	absolutive	having become contracted; having shrunk; having clenched	saṅkucati
saṅkuṭita	adjective	shrunken; shriveled	
saṅkupatha	masculine	a path to be gone with the help of stakes	
saṅkupita	past participle	enraged	saṅkuppati
saṅkula	adjective	full of; crowded	
saṅketa	masculine & neuter	a mark; appointed place; rendezvous	
saṅketakamma	neuter	engagement	
saṅkoca	masculine	contraction; grimace; distortion	
saṅkocita	past participle	contracted or distorted	saṅkoceti
saṅkoceti	saṁ + kuc + e	contracts or distorts	
saṅkocesi	aorist	contracted or distorted	saṅkoceti
saṅkha	masculine	a chank; a conch shell	
saṅkhakuṭṭhī	masculine	one who is suffering with white crab	
saṅkhata	past participle	conditioned; prepared; produced by a cause	saṅkharoti
saṅkhathāla	masculine	a vessel made of conch shell	
saṅkhadhama	masculine	one who blows a conch shell	
saṅkhamuṇḍika	neuter	a kind of torture; the shell-tonsure	
saṅkhaya	masculine	consumption; loss; destruction	
saṅkharaṇa	neuter	restoration; preparation	
saṅkhari	aorist	restored; prepared; put together	saṅkharoti
saṅkharitvā	absolutive	having restores; having prepared; having put together	saṅkharoti
saṅkharoti	saṁ + kar + o	restores; prepares; puts together	
saṅkharonta	present participle	restoring; preparing; putting together	saṅkharoti
saṅkhalikā	feminine	a fetter	
saṅkhā	feminine	enumeration; calculation; a number; definition	
saṅkhāta	past participle	agreed on; reckoned. (in compounds) so-called; named	saṅkhā
saṅkhādati	saṁ + khād + a	masticates	
saṅkhādi	aorist	masticated	saṅkhādati
saṅkhādita	past participle	masticated	saṅkhādati
saṅkhāditvā	absolutive	having masticated	saṅkhādati
saṅkhāna	neuter	calculation; counting	saṅkhā
saṅkhāya	absolutive	having considered or discriminated	saṅkhā
saṅkhāra	masculine	essential condition; a thing conditioned, mental coefficients	
saṅkhārakkhandha	masculine	the aggregate of mental coefficients	
saṅkhāradukkha	neuter	the evil of material life	
saṅkhāraloka	masculine	the whole creation	
saṅkhitta	past participle	contracted; abridged; shortened; folded	saṅkhipati
saṅkhipati	saṁ + khip + a	contracts; abridges; shortens; folds	
saṅkhipanta	present participle	contracting; shortening	saṅkhipati
saṅkhipamāna	present participle	contracting; shortening	saṅkhipati
saṅkhipi	aorist	contracted; abridged; shortened; folded	saṅkhipati
saṅkhipitabba	future passive participle adjective	should be contracted	saṅkhipati
saṅkhipituṃ	infinitive	to contract; to abridge; to shorten; to fold	saṅkhipati
saṅkhipitvā	absolutive	having contracted; having abridged; having shortened; having folded	saṅkhipati
saṅkhubhati	saṁ + khubh + a	to be agitated; stirs	
saṅkhubhi	aorist	stirred	saṅkhubhati
saṅkhubhita	past participle	stirred	saṅkhubhati
saṅkhubhitvā	absolutive	having stirred	saṅkhubhati
saṅkhepa	masculine	abridgment; abstract; condensed account; amassing	
saṅkheyya	adjective	calculable	
saṅkhobha	masculine	commotion; disturbance	
saṅkhobhita	past participle	disturbed; stirred; upset	saṅkhobheti
saṅkhobheti	saṁ + khubh + e	disturbs; stirs; upsets	
saṅkhobhetvā	absolutive	having disturbed; having stirred; having upset	saṅkhobheti
saṅkhobhenta	present participle	disturbing; stirring	saṅkhobheti
saṅkhobhesi	aorist	disturbed; stirred; upset	saṅkhobheti
saṅkhyā	feminine	enumeration; calculation; a number; definition	
saṅga	masculine	attachment; clinging	
saṅgacchati	saṁ + gam + a	meets with; comes together	
saṅgacchi	aorist	met with; came together	saṅgacchati
saṅgaṇikā	feminine	society	
saṅgaṇikārata	adjective	fond of or delighting in society	
saṅgaṇikārāma	adjective	fond of or delighting in society	
saṅgaṇikārāmatā	feminine	delight in company	
saṅgaṇhanta	present participle	treating kindly	saṅgaṇhāti
saṅgaṇhāti	saṁ + gah + ṇhā	treats kindly; compiles; collects	
saṅgaṇhi	aorist	treated kindly; compiled; collected	saṅgaṇhāti
saṅgaṇhitvā	absolutive	having treated kindly; having compiled; having collected	saṅgaṇhāti
saṅgata	past participle	met with; come together	saṅgacchati
saṅgati	feminine	association with	
saṅgantvā	absolutive	having met with; having come together	saṅgacchati
saṅgayha	absolutive	having treated kindly; having compiled; having collected	saṅgaṇhāti
saṅgaha	masculine	 treatment;	
saṅgaha	masculine	compilation; collection	
saṅgahita	past participle	treated kindly; compiled; collected	saṅgaṇhāti
saṅgahetvā	absolutive	having treated kindly; having compiled; having collected	saṅgaṇhāti
saṅgāma	masculine	fight; battle	
saṅgāmāvacara	adjective	frequenting in the battle-field	
saṅgāmita	past participle	fought; come into conflict	saṅgāmeti
saṅgāmeti	deno	fights; comes into conflict; fights a battle	saṅgāma
saṅgāmetvā	absolutive	having fought; having come into conflict	saṅgāmeti
saṅgāmesi	aorist	fought; came into conflict	saṅgāmeti
saṅgāyati	saṁ + gā + ya	chants; rehearses	
saṅgāyi	aorist	chanted; rehearsed	saṅgāyati
saṅgāyitvā	absolutive	having chanted; having rehearsed	saṅgāyati
saṅgāha	masculine	a collection	
saṅgāhaka	adjective	one who collects, compiles, treats kindly, or holds together. (masculine), charioteer	
saṅgīta	past participle	chanted; uttered; sung	saṅgāyati
saṅgīti	feminine	rehearsal; a convocation of the Buddhist clergy in order to settle questions of doctrine	
saṅgītikāraka	masculine	the Elders who held the convocations	
saṅgopita	past participle	protected well	saṅgopeti
saṅgopeti	saṁ + gup + e	protects well	
saṅgha	masculine	a multitude; an assemblage; the Buddhist clergy	
saṅghakamma	neuter	an act performed by a chapter of Buddhist monks	
saṅghagata	adjective	gone into or given to the community	
saṅghaṭita	past participle	joined together	saṅghaṭeti
saṅghaṭeti	saṁ + ghaṭ +e	joins together	
saṅghaṭetvā	absolutive	having joined together	saṅghaṭeti
saṅghaṭesi	aorist	joined together	saṅghaṭeti
saṅghaṭṭana	neuter	close contact; knocking against	
saṅghatthera	masculine	the senior monk of a congregation	
saṅghabhatta	neuter	food given to the community	
saṅghabheda	masculine	dissension among the Order	
saṅghabhedaka	masculine	one who causes dissension in the community of monks	
saṅghamānaka	adjective	devoted to the community	
saṅghāṭi	feminine	the upper robe of a Buddhist monk	
saṅghāta	masculine	junction; union; a raft	
saṅghika	adjective	. belonging to the Order	
saṅghī	adjective	having a crowd of followers	
saṅghuṭṭha	past participle	resounding with; proclaimed	saṅghoseti
sacitta	neuter	one’s own mind	
sacittaka	adjective	endowed with mind	
sace	indeclinable	if	
sacetana	adjective	animate; conscious	
sacca	neuter	truth. adj. true; real	
saccakāra	masculine	a pledge; rectification; payment in advance	
saccakāla	masculine	time for speaking the truth	
saccakiriya	feminine	a declaration on oath	
saccapaṭivedha	masculine	comprehension of the reality	
saccavāca	masculine	one who speaks the truth	
saccasandha	adjective	reliable	
saccāpita	past participle	bound with an oath; conjured	saccāpeti
saccāpeti	deno. from sacca	binds with an oath; conjures	
saccāpesi	aorist	bound with an oath; conjured	saccāpeti
saccābhisamaya	masculine	comprehension of the reality	
sacchikata	past participle	realized; experienced for oneself	sacchikaroti
sacchikatvā	absolutive	having realized; having experienced for oneself	sacchikaroti
sacchikaraṇa	neuter	realization; experiencing	
sacchikaraṇīya	adjective	fit to be realized	
sacchikari	aorist	realized; experienced for oneself	sacchikaroti
sacchikarituṃ	infinitive	to realize; to experience for oneself	sacchikaroti
sacchikaritvā	absolutive	having realized; having experienced for oneself	sacchikaroti
sacchikaroti	sacchi + kar + o	realizes; experiences for oneself	
sacchikaronta	present participle	realizing	sacchikaroti
sacchikātabba	future passive participle adjective	realizing	sacchikaroti
sacchikātuṃ	infinitive	to realize; to experience for oneself	sacchikaroti
sacchikiriyā	feminine	realization; experiencing	
sacchikiriyāhetu	adverb	sake of attaining	
sajati	saj + a	embraces	
sajana	masculine	a kinsman; one’s own men	
sajana	neuter	embracing	
sajamāna	present participle	embracing	sajati
sajātika	adjective	of the same race or nation	
saji	aorist	embraced	sajati
sajitvā	absolutive	having embraced	sajati
sajīva	adjective	endowed with life	
sajotibhūta	adjective	ablaze; aglow	
sajjati	saj + ya	clings to; to be attached	
sajjamāna	present participle	clinging to	sajjati
sajji	aorist	clung to	sajjati
sajjita	past participle	clung to	sajjati
sajjitvā	absolutive	having clung to	sajjati
sajjiya	absolutive	having prepared; having fit up; having decorated	sajjeti
sajju	indeclinable	instantly; speedily; at the same moment	
sajjukaṃ	adverb	quickly	
sajjulasa	masculine	resin	
sajjeti	saj + e	prepares; fits up; decorates	
sajjetvā	absolutive	having prepared; having fit up; having decorated	sajjeti
sajjenta	present participle	preparing	sajjeti
sajjesi	aorist	prepared; fit up; decorated	sajjeti
sajjhāya	masculine	study; rehearsal	
sajjhāyati	saṁ + jhā + ya	rehearses; recites; studies	
sajjhāyanā	feminine	recitation; study	
sajjhāyamāna	present participle osajjhāyati	rehearsing; reciting	
sajjhāyi	aorist	rehearsed; recited; studied	sajjhāyati
sajjhāyita	past participle	rehearsed; recited; studied	sajjhāyati
sajjhāyitvā	absolutive	having recited; having studied	sajjhāyati
sajjhu	neuter	silver	
sajjhumaya	adjective	made of silver	
sañcaya	masculine	accumulation; quantity	
sañcaraṇa	neuter	wandering about	
sañcarati	saṁ + car + a	goes about; wanders; moves; frequents	
sañcaranta	present participle	going about; wandering	sañcarati
sañcari	aorist	went about; wandered; moved	sañcarati
sañcarita	past participle	gone about; wandered; moved	sañcarati
sañcaritta	neuter	carrying of messages	
sañcaritvā	absolutive	having gone about; having wandered; having moved	sañcarati
sañcalati	saṁ + cal + a	to be unsteady or agitated	
sañcalana	neuter	agitation	
sañcali	aorist	agitated	sañcalati
sañcalita	past participle	agitated	sañcalati
sañcāra	masculine	passage; movement; wandering	
sañcāraṇa	neuter	causing to move or act	
sañcārita	past participle	causes to move about	sañcāreti
sañcāreti	causative	causes to move about	sañcarati
sañcāretvā	absolutive	having caused to move about	sañcāreti
sañcāresi	aorist	caused to move about	sañcāreti
sañcicca	indeclinable	with intention; purposely; discriminating	
sañciṇṇa	past participle	accumulated; practiced	sañcināti
sañcita	past participle	accumulated	sañcināti
sañcinana	neuter	accumulation	
sañcinanta	present participle	accumulating	sañcināti
sañcināti	saṁ + ci + nā	accumulates	
sañcini	aorist	accumulated	sañcināti
